title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Venom: The Last Dance,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",2024.0,0.6752,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, bitter, horrified, sony's spider-man universe",Kelly Marcel,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",https://image.tmdb.org/t/p/w500/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,https://www.youtube.com/watch?v=FKBN1qAzW3s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Moana 2,"['Animation', 'Adventure', 'Family', 'Comedy']",2024.0,0.6900000000000001,"sea, ocean, villain, musical, sequel, amused",David G. Derrick Jr.,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",https://image.tmdb.org/t/p/w500/4YZpsylmjHbqeWzjKpUEF8gcLNW.jpg,https://www.youtube.com/watch?v=9IisFuMUz44,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elevation,"['Action', 'Science Fiction', 'Thriller']",2024.0,0.65,"mine, colorado, hospital, alien invasion, ski lift, abandoned mine, aliens, monsters, mountains",George Nolfi,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,https://image.tmdb.org/t/p/w500/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,https://www.youtube.com/watch?v=kt0V2rpEouE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Absolution,"['Action', 'Crime', 'Thriller']",2024.0,0.61,gangster,Hans Petter Moland,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",https://image.tmdb.org/t/p/w500/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg,https://www.youtube.com/watch?v=m0zbtMTXZog,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Red One,"['Action', 'Comedy', 'Fantasy']",2024.0,0.7026,"bounty hunter, holiday, kidnapping, santa claus, polar bear, aggressive, christmas, action comedy, family comedy, witty, fantasy comedy, celebratory",Jake Kasdan,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,https://www.youtube.com/watch?v=7l3hfD74X-4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Armor,"['Action', 'Crime', 'Thriller']",2024.0,0.5546000000000001,armored truck,Justin Routt,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",https://image.tmdb.org/t/p/w500/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg,https://www.youtube.com/watch?v=tzQsSmDc8gw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Watchmen: Chapter II,"['Animation', 'Mystery', 'Science Fiction', 'Action']",2024.0,0.76,"nuclear war, secret identity, retirement, based on comic, conspiracy, alternate history, masked vigilante, doomsday clock, 1980s",Brandon Vietti,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",https://image.tmdb.org/t/p/w500/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,https://www.youtube.com/watch?v=VEX3fJMNxwc,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Miraculous World, London: At the Edge of Time","['Animation', 'Adventure', 'Action', 'Fantasy']",2024.0,0.8500000000000001,"london, england, superhero, kids, لندن, السفر عبر الزمن, ميراكلوس, بانيكس",Thomas Astruc,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",https://image.tmdb.org/t/p/w500/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg,https://www.youtube.com/watch?v=iFN9DouWuYY,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
That Christmas,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure']",2024.0,0.76,"holiday, santa claus, christmas, hopeful",Simon Otto,It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans — including Santa's.,https://image.tmdb.org/t/p/w500/bX6dx2U4hOk1esI7mYwtD3cEKdC.jpg,https://www.youtube.com/watch?v=SiCTXSwqzkw,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Wild Robot,"['Animation', 'Action', 'Science Fiction', 'Family']",2024.0,0.8400000000000001,"robot, based on children's book, adopted son, kids, traditional parenting",Chris Sanders,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,https://www.youtube.com/watch?v=VUCNBAmse04,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
